id_usuario,nombre,email,fecha_registro,pais,nivel_cuenta
1,ccorselles0,aianittello0@pcworld.com,2015-08-21,Slovenia,46
2,elutwidge1,lsmillie1@tuttocitta.it,2010-04-30,Indonesia,99
3,amagner2,iranfield2@webmd.com,2019-03-01,China,32
4,wdymidowicz3,lfilipchikov3@360.cn,2017-02-08,Peru,22
5,dvlahos4,adax4@sphinn.com,2012-09-24,Czech Republic,68
6,ahouston5,llappine5@twitpic.com,2024-07-26,Luxembourg,32
7,mgoldsbrough6,psafe6@biglobe.ne.jp,2015-04-25,China,32
8,idesimoni7,dcreese7@state.tx.us,2015-03-19,China,1
9,bmatuschek8,jdanbury8@nba.com,2009-08-26,Ukraine,46
10,skarus9,treightley9@prweb.com,2013-11-03,China,54
11,abradnuma,ooldreya@dion.ne.jp,2014-03-18,Indonesia,97
12,eheughb,hwingerb@engadget.com,2010-04-03,Poland,5
13,ifidalc,iohalliganc@gravatar.com,2022-06-02,Norway,11
14,sframptond,tfullyloved@miibeian.gov.cn,2012-10-17,Venezuela,74
15,ydehooghe,wbuffe@macromedia.com,2011-04-13,Vanuatu,69
16,cduddellf,stodorf@ft.com,2008-06-28,Russia,41
17,epossekg,bgodardg@columbia.edu,2017-07-05,China,50
18,eprembleh,tkunderth@bbc.co.uk,2021-07-18,Vietnam,85
19,iredgatei,ppawlaczyki@miitbeian.gov.cn,2024-03-01,China,88
20,gfitzgilbertj,kescalantej@reddit.com,2021-12-25,Indonesia,1
21,plawryk,amerillk@ucsd.edu,2013-10-01,China,32
22,akisbyl,tmckinnelll@senate.gov,2011-08-26,Gambia,6
23,coheffernanm,rcampsm@squarespace.com,2018-07-18,Palestinian Territory,71
24,ddilgarnon,ktrinern@gravatar.com,2012-12-29,Czech Republic,60
25,abirckmanno,mhousegoo@miibeian.gov.cn,2023-06-29,Yemen,93
26,wpatullop,kbeckenp@msn.com,2008-06-26,Palestinian Territory,1
27,ldunphyq,hhorsfieldq@zdnet.com,2024-02-26,Portugal,50
28,lwadmanr,ehinnersr@prnewswire.com,2022-06-30,China,63
29,nbrockies,ebourdass@comsenz.com,2020-04-27,Ecuador,86
30,oendecottt,gpabelikt@ibm.com,2011-11-14,Kosovo,47
31,ifindlayu,gdriuzziu@skyrock.com,2015-06-06,Indonesia,45
32,hdavidv,lstitsonv@yolasite.com,2012-01-10,Peru,15
33,aderrettw,adomaschkew@google.co.jp,2016-07-31,Portugal,5
34,tlanningx,rmolesworthx@unesco.org,2016-01-05,Indonesia,63
35,ydelberguey,dantyukhiny@marketwatch.com,2010-05-08,China,60
36,mgaylerz,aouterbridgez@youku.com,2013-01-22,China,64
37,lgoford10,owhitticks10@homestead.com,2018-07-19,United States,31
38,rgoskar11,abaynard11@hibu.com,2018-06-07,Czech Republic,44
39,cdomek12,oflexman12@pinterest.com,2022-02-24,Belarus,62
40,ecornthwaite13,bskettles13@topsy.com,2018-09-15,Sweden,58
41,krenish14,lallot14@auda.org.au,2015-05-17,Portugal,65
42,fverbruggen15,djory15@istockphoto.com,2013-08-25,Portugal,3
43,rpapes16,priddock16@unc.edu,2024-06-08,China,54
44,tlucia17,pbritch17@webnode.com,2011-05-28,United States,61
45,lprettyjohn18,dnasi18@fastcompany.com,2011-12-22,China,72
46,cthys19,nwebby19@nps.gov,2018-09-22,Brazil,48
47,aruffy1a,cgrishukov1a@cafepress.com,2010-12-02,Sweden,86
48,rmollin1b,blittlecote1b@istockphoto.com,2014-02-15,China,27
49,gsherville1c,mdecourcy1c@free.fr,2023-07-03,Japan,100
50,fbirchall1d,dosbiston1d@bizjournals.com,2022-12-08,Philippines,84
51,mcurl1e,calliston1e@prnewswire.com,2018-04-03,Poland,31
52,carthur1f,avasyanin1f@purevolume.com,2018-08-29,Uruguay,71
53,lbiskupiak1g,btwohig1g@google.co.jp,2021-09-13,Brazil,10
54,dswitzer1h,chupe1h@apple.com,2023-08-19,Philippines,63
55,dgerkens1i,wscamaden1i@biblegateway.com,2021-09-12,Thailand,22
56,hgrelik1j,ccutteridge1j@economist.com,2016-02-02,Indonesia,26
57,mbending1k,lliston1k@xinhuanet.com,2009-10-22,Yemen,79
58,labazi1l,mburmaster1l@facebook.com,2008-10-28,China,9
59,fsurby1m,mbranston1m@usatoday.com,2014-01-25,Tanzania,76
60,tpatmore1n,sludron1n@sohu.com,2019-08-20,Brazil,65
61,tspurr1o,fthrussell1o@timesonline.co.uk,2015-02-09,China,52
62,bharriagn1p,lhandasyde1p@techcrunch.com,2013-02-01,Brazil,51
63,ldicky1q,rcurson1q@friendfeed.com,2011-05-14,Indonesia,34
64,locoskerry1r,glengthorn1r@reuters.com,2008-08-13,Indonesia,28
65,csmoth1s,eisaacson1s@github.io,2011-05-05,Brazil,50
66,nbwye1t,djess1t@berkeley.edu,2011-11-18,Argentina,100
67,cbecaris1u,slucian1u@plala.or.jp,2017-04-20,Portugal,54
68,lmccomiskey1v,sdahlman1v@booking.com,2019-05-16,Philippines,78
69,lzaniolini1w,aclearie1w@phoca.cz,2011-05-03,Peru,14
70,mstrothers1x,lklaussen1x@example.com,2022-01-19,South Africa,14
71,osimone1y,gstorck1y@csmonitor.com,2020-05-18,Micronesia,47
72,rjansen1z,ecraney1z@plala.or.jp,2020-07-28,China,9
73,umcbay20,ltuite20@pagesperso-orange.fr,2010-08-08,Yemen,78
74,cguerrieri21,bkimberly21@chronoengine.com,2009-07-14,Thailand,7
75,kmcamish22,idemcik22@canalblog.com,2008-11-09,Morocco,45
76,belgram23,ngrishunin23@skyrock.com,2017-09-20,Netherlands,89
77,kchettle24,llemonnier24@pinterest.com,2008-09-01,Norway,80
78,cconyer25,cmaffin25@pcworld.com,2012-10-05,Greece,38
79,jkingdon26,emillen26@stumbleupon.com,2017-11-05,France,22
80,mheeran27,cpunyer27@histats.com,2021-02-04,Indonesia,36
81,mmckernon28,tborges28@zdnet.com,2012-10-31,Sweden,29
82,rgregg29,pwitherspoon29@kickstarter.com,2019-12-24,China,80
83,afridaye2a,bdelhanty2a@godaddy.com,2013-10-30,Peru,57
84,eplaice2b,tvigors2b@auda.org.au,2013-09-09,Ukraine,98
85,wgisbye2c,cthreadgill2c@china.com.cn,2017-10-18,Colombia,31
86,scuell2d,rbonicelli2d@noaa.gov,2017-10-27,France,94
87,npantling2e,afellgatt2e@google.de,2009-01-18,China,50
88,bferrieroi2f,loolahan2f@indiegogo.com,2022-05-07,China,50
89,ptoogood2g,cmalyon2g@senate.gov,2020-09-19,Poland,21
90,nhambleton2h,vfeye2h@ucoz.com,2015-01-07,Poland,60
91,agullyes2i,bpigne2i@joomla.org,2011-06-01,Peru,77
92,mbladge2j,fcissen2j@yolasite.com,2022-08-13,Vietnam,27
93,cubach2k,chamshere2k@wisc.edu,2010-04-10,Poland,89
94,meverall2l,dkubalek2l@amazon.de,2018-08-10,China,71
95,llingfoot2m,ywistance2m@discovery.com,2013-10-18,Sweden,94
96,honowlan2n,mbalstone2n@hhs.gov,2016-10-26,Finland,96
97,psorensen2o,sgabbatiss2o@opensource.org,2011-06-12,Poland,8
98,mcescot2p,ftoolan2p@themeforest.net,2012-01-06,Argentina,76
99,cringer2q,gaslum2q@businessweek.com,2011-03-16,United States,19
100,bdudny2r,bamphlett2r@auda.org.au,2008-09-04,China,46
101,ebatalle2s,ebangiard2s@ycombinator.com,2009-09-08,Malaysia,21
102,jheathorn2t,sblonfield2t@about.me,2009-02-13,Indonesia,39
103,mtregear2u,fbrawley2u@baidu.com,2015-01-17,Poland,49
